symbol,market_cap
AXISILVER,112.4
AXISNIFTY,736.87
AXISTECETF,135.52
AXITA,581.5
AXSENSEX,122.95
AYMSYNTEX,471.29
AZAD,11715.01
BABAFP,86.12
BAGFILMS,180.94
BAHETI,315.2
BAIDFIN,231.61
BAJAJ-AUTO,270246
BAJAJCON,3726.2
BAJAJELEC,12103.08
BAJAJFINSV,253949.11
BAJAJHCARE,867.97
BAJAJHIND,5442.83
BAJAJHLDNG,91249.55
BAJEL,3463.7
BAJFINANCE,447791.22
BALAJITELE,675.68
BALAMINES,7251.67
BALAXI,684.57
BALKRISHNA,84.09
BALKRISIND,63524.03
BALMLAWRIE,4557.25
BALPHARMA,187.14
BALRAMCHIN,8871.92
BALUFORGE,3266.53
BANARBEADS,63.71
BANARISUG,3948.5
BANCOINDIA,4311.86
BANDHANBNK,32058.3
BANG,63.35
BANKA,97.9
BANKBARODA,147280.39
BANKBEES,6982.26
BANKBETF,200.73
BANKETF,125.59
BANKETFADD,326.58
BANKIETF,3372.95
BANKINDIA,55770.18
BANKNIFTY1,5949.81
BANSWRAS,500.47
BARBEQUE,2199.76
BASF,21122.31
BASILIC,769.24
BASML,312.47
BATAINDIA,18662.2
BAWEJA,163.63
BAYERCROP,30870.32
BBETF0432,11112.2
BBL,5538.53
BBNPPGOLD,68.67
BBOX,4417.01
BBTC,11303.75
BBTCL,497.99
BCLIND,1529.25
BCONCEPTS,722.52
BDL,57455.01
BEACON,225.09
BEARDSELL,157.55
BECTORFOOD,8443.54
BEDMUTHA,791.27
BEL,226456.95
BEML,18823.31
BEPL,2986.05
BERGEPAINT,58114.93
BESTAGRO,1442.33
BETA,1170.96
BEWLTD,470.31
BFINVEST,2290.76
BFSI,277.97
BFUTILITIE,3412.69
BGRENERGY,277.82
BHAGCHEM,3341.08
BHAGERIA,728.2
BHAGYANGR,356.07
BHANDARI,132.38
BHARATFORG,79336.3
BHARATGEAR,171.06
BHARATRAS,4841.53
BHARATWIRE,1852.63
