ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),V M ANAND/SAGARI ANAND,Promoters,Equity Shares,16195,0.19,Equity Shares,42664,0,Buy,Equity Shares,58859,0.68,27-Mar-2024,27-Mar-2024,02-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,03-Apr-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163500_1079835_03042024040054_WEB.xml
VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),AMRITHA V M WARD,Promoters,Equity Shares,14330,0.17,Equity Shares,36568,0,Buy,Equity Shares,50898,0.59,27-Mar-2024,27-Mar-2024,02-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,03-Apr-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163500_1079835_03042024040054_WEB.xml
VSTTILLERS,V.S.T Tillers Tractors Limited,7(2),M BHARATHI,Promoters,Equity Shares,183096,2.12,Equity Shares,121896,0,Sell,Equity Shares,61200,0.71,27-Mar-2024,27-Mar-2024,02-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,03-Apr-2024 16:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163500_1079835_03042024040054_WEB.xml
KAMDHENU,Kamdhenu Limited,7(2),DEEPAK VIRMANI,Immediate relative,Equity Shares,Nil,0,Equity Shares,1930,994394,Buy,Equity Shares,1930,0.01,26-Mar-2024,26-Mar-2024,03-Apr-2024,Market Purchase,-,-,-,-,-,-,NSE,-,03-Apr-2024 15:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163497_1079806_03042024032847_WEB.xml
KAMDHENU,Kamdhenu Limited,7(2),DEEPAK VIRMANI,Immediate relative,Equity Shares,1930,0.01,Equity Shares,970,500142,Buy,Equity Shares,2900,0.01,28-Mar-2024,28-Mar-2024,03-Apr-2024,Market Purchase,-,-,-,-,-,-,NSE,-,03-Apr-2024 15:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163497_1079806_03042024032847_WEB.xml
FDC,FDC Limited,7(2),Nomita Ramdas Chandavarkar,Promoters,Equity Shares,5260640,3.23,Equity Shares,31656049,0,Buy,Equity Shares,36916689,22.67,27-Mar-2024,27-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,03-Apr-2024 14:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163494_1079764_03042024024752_WEB.xml
FDC,FDC Limited,7(2),Meera Ramdas Chandavarkar,Promoters,Equity Shares,31656049,19.44,Equity Shares,31656049,0,Sell,Equity Shares,Nil,0,27-Mar-2024,27-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,03-Apr-2024 14:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163494_1079764_03042024024752_WEB.xml
INDOSTAR,IndoStar Capital Finance Limited,7(2),ECP III FVCI Pte Ltd,Promoter Group,Equity Shares,2313005,1.7,Equity Shares,1909919,355455025,Buy,Equity Shares,403086,0.3,28-Mar-2024,01-Apr-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,BSE,-,03-Apr-2024 13:03,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163488_1079691_03042024010321_WEB.xml
SENCO,Senco Gold Limited,7(2),Surendra Gupta,Key Managerial Personnel,Equity Shares,3025,0,Equity Shares,1600,1290776,Sell,Equity Shares,1425,0,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,03-Apr-2024 12:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163486_1079662_03042024123033_WEB.xml
ZUARI,Zuari Agro Chemicals Limited,7(2),Zuari Industries Limited,Promoters,Equity Shares,8411601,20,Equity Shares,2852033,483276992,Pledge Revoke,Equity Shares,8411601,20,30-Mar-2024,30-Mar-2024,02-Apr-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,03-Apr-2024 12:28,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163485_1079659_03042024122810_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,796812,1.63,Equity Shares,1695,466718,Sell,Equity Shares,795117,1.62,30-Mar-2024,30-Mar-2024,02-Apr-2024,Off Market,-,-,-,-,-,-,NA,-,03-Apr-2024 11:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163480_1079603_03042024112944_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,797727,1.63,Equity Shares,915,805776,Sell,Equity Shares,796812,1.63,30-Mar-2024,30-Mar-2024,02-Apr-2024,Off Market,-,-,-,-,-,-,NA,-,03-Apr-2024 11:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163480_1079603_03042024112944_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,795117,1.62,Equity Shares,2000,794260,Sell,Equity Shares,793117,1.62,30-Mar-2024,30-Mar-2024,02-Apr-2024,Off Market,-,-,-,-,-,-,NA,-,03-Apr-2024 11:29,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163480_1079603_03042024112944_WEB.xml
DHANI,Dhani Services Limited,7(2),Inuus Developers Private Limited,Promoters,Equity Shares,157055673,25.65,Equity Shares,12979963,508531634,Sell,Equity Shares,144075710,23.53,22-Mar-2024,28-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,"BSE,NSE",-,02-Apr-2024 22:45,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163476_1079568_02042024104516_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,9193930,0.38,Equity Shares,61,50202,Sell,Equity Shares,9193869,0.38,26-Mar-2024,26-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,9193869,0.38,Equity Shares,323,265827,Sell,Equity Shares,9193546,0.38,26-Mar-2024,26-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,9193546,0.38,Equity Shares,12875,10585901,Sell,Equity Shares,9180671,0.38,27-Mar-2024,27-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,9180671,0.38,Equity Shares,72,59238,Sell,Equity Shares,9180599,0.38,27-Mar-2024,27-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,9180599,0.38,Equity Shares,208578,29998633,Sell,Equity Shares,8972021,0.37,27-Mar-2024,27-Mar-2024,01-Apr-2024,Off Market,-,-,-,-,-,-,NA,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,8972021,0.37,Equity Shares,18998,3065514,Sell,Equity Shares,8953023,0.37,28-Mar-2024,28-Mar-2024,01-Apr-2024,Off Market,-,-,-,-,-,-,NA,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
JSWSTEEL,JSW Steel Limited,7(2),JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,9225659,0.38,Equity Shares,31729,26112779,Sell,Equity Shares,9193930,0.38,26-Mar-2024,26-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 21:50,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163474_1079559_02042024095026_WEB.xml
RAMCOSYS,Ramco Systems Limited,7(2),SETHULAKSHMI JAYARAMAN,Promoter Group,Equity Shares,10315,0.03,Equity Shares,38530,0,Buy,Equity Shares,48845,0.14,16-Feb-2024,30-Mar-2024,30-Mar-2024,Others,-,-,-,-,-,-,NA,-,02-Apr-2024 20:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163472_1079553_02042024085123_WEB.xml
RAMCOSYS,Ramco Systems Limited,7(2),ALAGARAJA RAMALAKSHMI,Promoter Group,Equity Shares,2397,0.01,Equity Shares,38530,0,Buy,Equity Shares,40927,0.11,16-Feb-2024,30-Mar-2024,30-Mar-2024,Others,-,-,-,-,-,-,NA,-,02-Apr-2024 20:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163472_1079553_02042024085123_WEB.xml
BAJFINANCE,Bajaj Finance Limited,7(2),Maharashtra Scooters Limited,Promoter Group,Debentures,Nil,0,Debentures,15000,1501817815,Buy,Debentures,15000,0,27-Mar-2024,27-Mar-2024,01-Apr-2024,Market Purchase,-,-,-,-,-,-,BSE,-,02-Apr-2024 20:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163470_1079537_02042024080539_WEB.xml
UDS,Updater Services Limited,7(2),SAMIR DHIRAJLAL TRIVEDI,-,Equity Shares,73445,0,Equity Shares,3000,983700,Sell,Equity Shares,70445,0,26-Mar-2024,26-Mar-2024,02-Apr-2024,Market Sale,-,-,-,-,-,-,BSE,-,02-Apr-2024 19:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163469_1079533_02042024075136_WEB.xml
UDS,Updater Services Limited,7(2),SAMIR DHIRAJLAL TRIVEDI,-,Equity Shares,74075,0,Equity Shares,630,202230,Sell,Equity Shares,73445,0,22-Mar-2024,22-Mar-2024,02-Apr-2024,Market Sale,-,-,-,-,-,-,BSE,-,02-Apr-2024 19:51,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163469_1079533_02042024075136_WEB.xml
AUBANK,AU Small Finance Bank Limited,7(2),Mayank Markanday,-,Equity Shares,27259,0,Equity Shares,500,282001,Sell,Equity Shares,26759,0,27-Mar-2024,27-Mar-2024,29-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163466_1079476_02042024064611_WEB.xml
AUBANK,AU Small Finance Bank Limited,7(2),Mayank Markanday,-,Equity Shares,26759,0,Equity Shares,675,381746,Pledge Revoke,Equity Shares,26759,0,28-Mar-2024,28-Mar-2024,01-Apr-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,02-Apr-2024 18:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163466_1079476_02042024064611_WEB.xml
BIOCON,Biocon Limited,7(2),Akhilesh Nand,Employees/Designated Employees,Equity Shares,190967,0.02,Equity Shares,11000,2866050,Sell,Equity Shares,179967,0.01,28-Mar-2024,28-Mar-2024,30-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163464_1079450_02042024063250_WEB.xml
BIOCON,Biocon Limited,7(2),KIRAN KUMAR GANDHIRAJAN,Employees/Designated Employees,Equity Shares,159086,0.01,Equity Shares,19998,5286351,Sell,Equity Shares,139088,0.01,28-Mar-2024,28-Mar-2024,31-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:32,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163464_1079450_02042024063250_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,3387371,1.03,Equity Shares,720985,152346574,Sell,Equity Shares,2666386,0.81,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163461_1079422_02042024060825_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,3387371,1.03,Equity Shares,720985,150868111,Pledge Revoke,Equity Shares,3387371,1.03,28-Mar-2024,28-Mar-2024,01-Apr-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,02-Apr-2024 18:16,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163461_1079422_02042024060825_WEB.xml
SHRIRAMFIN,Shriram Finance Limited,7(2),Sanlam Life Insurance Limited,Promoter Group,Equity Shares,7536951,2.01,Equity Shares,5980000,14268280000,Sell,Equity Shares,1556951,0.42,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163460_1079417_02042024060715_WEB.xml
SHRIRAMFIN,Shriram Finance Limited,7(2),Shriram Value Services Limited,Promoter Group,Equity Shares,20771461,5.53,Equity Shares,5980000,14268280000,Buy,Equity Shares,26751461,7.12,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NSE,-,02-Apr-2024 18:07,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163460_1079417_02042024060715_WEB.xml
DBREALTY,D B Realty Limited,7(2),Subramanian K. Mudaliyar,Employees/Designated Employees,Equity Shares,7500,0,Equity Shares,6000,1241032,Sell,Equity Shares,1500,0,18-Mar-2024,28-Mar-2024,02-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:42,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163457_1079376_02042024054229_WEB.xml
RAMCOIND,Ramco Industries Limited,7(2),A RAMALAKSHMI,Promoter Group,Equity Shares,399400,0.46,Equity Shares,526940,108470599,Buy,Equity Shares,926340,1.07,26-Mar-2024,26-Mar-2024,28-Mar-2024,Others,-,-,-,-,-,-,NA,-,02-Apr-2024 17:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163456_1079347_02042024052740_WEB.xml
RAMCOIND,Ramco Industries Limited,7(2),SETHULAKSHMI JAYARAMAN,Promoter Group,Equity Shares,407480,0.47,Equity Shares,526940,108470599,Buy,Equity Shares,934420,1.08,26-Mar-2024,26-Mar-2024,28-Mar-2024,Others,-,-,-,-,-,-,NA,-,02-Apr-2024 17:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163456_1079347_02042024052740_WEB.xml
PARACABLES,Paramount Communications Limited,7(2),Hertz Electricals (International) Private Limited,Promoter Group,Equity Shares,4708590,1.55,Equity Shares,29000000,0,Buy,Equity Shares,33708590,11.11,30-Mar-2024,30-Mar-2024,01-Apr-2024,Scheme of Amalgamation/Merger/Demerger/Arrangement,-,-,-,-,-,-,NA,-,02-Apr-2024 17:24,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163454_1079334_02042024052432_WEB.xml
MAPMYINDIA,C.E. Info Systems Limited,7(2),Monika Jaipuriar,-,Equity Shares,17614,0.03,Equity Shares,1500,2777400,Sell,Equity Shares,16114,0.03,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163451_1079325_02042024052129_WEB.xml
MAPMYINDIA,C.E. Info Systems Limited,7(2),Saurabh Somani,-,Equity Shares,833,0,Equity Shares,643,1195263,Sell,Equity Shares,190,0,02-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:21,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163451_1079325_02042024052129_WEB.xml
LTIM,LTIMindtree Limited,7(2),Arvind Ankalikar,Employees/Designated Employees,Equity Shares,59500,0.02,Equity Shares,750,3709110,Sell,Equity Shares,58750,0.02,28-Mar-2024,28-Mar-2024,29-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163448_1079315_02042024051506_WEB.xml
LTIM,LTIMindtree Limited,7(2),VIJAYARAM PARUPUDI,Employees/Designated Employees,Equity Shares,3760,0,Equity Shares,3000,14861010,Sell,Equity Shares,760,0,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:15,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163448_1079315_02042024051506_WEB.xml
CLEAN,Clean Science And Technology Limited,7(2),Dnyaneshwar Dhondiram Subhedar,Employees/Designated Employees,Equity Shares,462,0,Equity Shares,462,610302,Sell,Equity Shares,Nil,0,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml
CLEAN,Clean Science And Technology Limited,7(2),Dnyaneshwar Dhondiram Subhedar,Employees/Designated Employees,Equity Shares,462,0,Equity Shares,462,610302,Pledge,Equity Shares,462,0,28-Mar-2024,28-Mar-2024,01-Apr-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,02-Apr-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml
CLEAN,Clean Science And Technology Limited,7(2),Aniket Gholap,Employees/Designated Employees,Equity Shares,558,0,Equity Shares,558,735477,Sell,Equity Shares,Nil,0,28-Mar-2024,28-Mar-2024,29-Mar-2024,Market Sale,-,-,-,-,-,-,BSE,-,02-Apr-2024 17:05,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163445_1079302_02042024050516_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),Leena Upadhye,-,Equity Shares,58135,0.03,Equity Shares,14500,1079040,Sell,Equity Shares,43635,0.02,15-Feb-2024,21-Mar-2024,29-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 15:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163443_1079214_02042024034721_WEB.xml
ZAGGLE,Zaggle Prepaid Ocean Services Limited,7(2),Kartikeya Pasumarti,-,Equity Shares,3300,0,Equity Shares,10000,2907312,Buy,Equity Shares,13300,0.01,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Purchase,-,-,-,-,-,-,NSE,-,02-Apr-2024 15:47,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163442_1079212_02042024034701_WEB.xml
VASCONEQ,Vascon Engineers Limited,7(2),NAVIN HARI SINGH THAKUR,-,Equity Shares,90000,0.04,Equity Shares,20000,1232000,Sell,Equity Shares,70000,0.03,21-Mar-2024,28-Mar-2024,29-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 15:46,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163441_1079210_02042024034634_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,4675633,1.42,Equity Shares,618545,132902202,Sell,Equity Shares,4057088,1.23,26-Mar-2024,26-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,4057088,1.23,Equity Shares,669717,142113947,Pledge Revoke,Equity Shares,4057088,1.23,27-Mar-2024,27-Mar-2024,28-Mar-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,02-Apr-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,4057088,1.23,Equity Shares,669717,141984677,Sell,Equity Shares,3387371,1.03,27-Mar-2024,27-Mar-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml
RELIGARE,Religare Enterprises Limited,7(2),Rashmi Saluja,Director,Equity Shares,4675633,1.42,Equity Shares,618545,131502667,Pledge Revoke,Equity Shares,4675633,1.42,26-Mar-2024,26-Mar-2024,28-Mar-2024,Revokation of Pledge,-,-,-,-,-,-,NA,-,02-Apr-2024 15:36,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163436_1079184_02042024032843_WEB.xml
RGL,Renaissance Global Limited,7(2),Hitesh M. Shah,Promoters,Equity Shares,5438000,5.66,Equity Shares,2088000,0,Sell,Equity Shares,3350000,3.48,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,02-Apr-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml
RGL,Renaissance Global Limited,7(2),Jyotsna Mahendra Shah,Promoter Group,Equity Shares,Nil,0,Equity Shares,2088000,0,Buy,Equity Shares,2088000,2.17,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,02-Apr-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml
RGL,Renaissance Global Limited,7(2),Niranjan Amritlal Shah,Promoters,Equity Shares,2857955,2.97,Equity Shares,2464095,0,Sell,Equity Shares,393860,0.41,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,02-Apr-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml
RGL,Renaissance Global Limited,7(2),Sumit N. Shah,Promoters,Equity Shares,1419790,1.48,Equity Shares,2464095,0,Buy,Equity Shares,3883885,4.04,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,NA,-,02-Apr-2024 15:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163438_1079193_02042024033351_WEB.xml
STARCEMENT,Star Cement Limited,7(2),SUMITRA DEVI AGARWAL FAMILY TRUST,Other,Equity Shares,17951414,4.44,Equity Shares,500000,116200000,Buy,Equity Shares,18451414,4.57,27-Mar-2024,27-Mar-2024,30-Mar-2024,Gift,-,-,-,-,-,-,NA,-,02-Apr-2024 15:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163433_1079161_02042024031204_WEB.xml
ARROWGREEN,Arrow Greentech Limited,7(2),RAKSHA PUNGALIA,Immediate relative,Equity Shares,3500,0.02,Equity Shares,1000,399000,Buy,Equity Shares,4500,0.03,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Purchase,-,-,-,-,-,-,"BSE,NSE",-,02-Apr-2024 15:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163432_1079159_02042024031159_WEB.xml
ARROWGREEN,Arrow Greentech Limited,7(2),HARESH MEHTA,Director,Equity Shares,76300,0.51,Equity Shares,7407,2854514,Buy,Equity Shares,83707,0.55,28-Mar-2024,29-Mar-2024,30-Mar-2024,Market Purchase,-,-,-,-,-,-,"BSE,NSE",-,02-Apr-2024 15:11,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163432_1079159_02042024031159_WEB.xml
STARCEMENT,Star Cement Limited,7(2),MAHABIR PRASAD AGARWAL FAMILY TRUST,Other,Equity Shares,17961414,4.44,Equity Shares,500000,116200000,Buy,Equity Shares,18461414,4.57,27-Mar-2024,27-Mar-2024,30-Mar-2024,Gift,-,-,-,-,-,-,NA,-,02-Apr-2024 15:08,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163429_1079149_02042024030847_WEB.xml
STARCEMENT,Star Cement Limited,7(2),Brij Bhushan Agarwal,Director,Equity Shares,2358413,0.58,Equity Shares,1000000,232400000,Sell,Equity Shares,1358413,0.34,27-Mar-2024,27-Mar-2024,30-Mar-2024,Gift,-,-,-,-,-,-,NA,-,02-Apr-2024 15:06,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163427_1079145_02042024030622_WEB.xml
SUDARSCHEM,Sudarshan Chemical Industries Limited,7(2),Nagesh V. Kamat,Other,Equity Shares,2600,0,Equity Shares,2000,1060582,Sell,Equity Shares,600,0,05-Feb-2024,05-Feb-2024,28-Mar-2024,Market Sale,-,-,-,-,-,-,BSE,-,02-Apr-2024 14:55,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163425_1079132_02042024025506_WEB.xml
INTLCONV,International Conveyors Limited,7(2),Mr. SurbhitDabriwala,Promoters,Equity Shares,10435359,16.47,Equity Shares,1451379,117271423,Sell,Equity Shares,8983980,14.18,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,BSE,-,02-Apr-2024 12:56,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163420_1079064_02042024125626_WEB.xml
ECLERX,eClerx Services Limited,7(2),Eclerx Employee Welfare Trust,Other,Equity Shares,818728,1.67,Equity Shares,21001,49643830,Sell,Equity Shares,797727,1.63,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 12:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163419_1079057_02042024124119_WEB.xml
AKSHOPTFBR,Aksh Optifibre Limited,7(2),Dr. Kailash Shantilal Choudhari,Promoters,Equity Shares,17457391,10.73,Equity Shares,150000,1203734,Sell,Equity Shares,17307391,10.64,28-Mar-2024,28-Mar-2024,01-Apr-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 12:33,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163417_1079051_02042024123342_WEB.xml
INTLCONV,International Conveyors Limited,7(2),Mr. SurbhitDabriwala,Promoters,Equity Shares,10435359,16.47,Equity Shares,1451379,117271423,Sell,Equity Shares,8983980,14.18,28-Mar-2024,28-Mar-2024,01-Apr-2024,Inter-se-Transfer,-,-,-,-,-,-,BSE,-,02-Apr-2024 12:12,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163415_1079025_02042024121248_WEB.xml
ORTINLAB,Ortin Laboratories Limited,7(2),Lakshmi Sravani Dasari,-,Equity Shares,52000,0.64,Equity Shares,32000,544000,Sell,Equity Shares,20000,0.25,28-Mar-2024,28-Mar-2024,30-Mar-2024,Market Sale,-,-,-,-,-,-,NSE,-,02-Apr-2024 11:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163413_1079003_02042024114430_WEB.xml
