ticker,company_name,regulation,person_name,person_category,type_of_security_prior,no_of_security_prior,pct_shareholding_prior,type_of_security_acquired,no_of_securities_acquired,value_of_securities_acquired,transaction_type,type_of_security_post,no_of_security_post,pct_post,date_of_allotment_acquisition_from,date_of_allotment_acquisition_to,date_of_intimation_to_company,mode_of_acquisition,derivative_type_security,derivative_contract_specification,notional_value_buy,units_contract_lot_size_buy,notional_value_sell,units_contract_lot_size_sell,exchange,remark,broadcast_date_and_time,xbrl_link
SIS,SIS LIMITED,7(3),BHARAT BAKHSHI,-,Equity Shares,Nil,0,Equity Shares,10000,4165000,Buy,Equity Shares,10000,0.01,03-Jun-2024,03-Jun-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 22:44,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165019_1153017_04062024104428_WEB.xml
SIS,SIS LIMITED,7(2),SIS GROUP ESOP TRUST,Other,Equity Shares,Nil,0,Equity Shares,19110,7959315,Buy,Equity Shares,19110,0.01,29-May-2024,29-May-2024,31-May-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 22:41,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165018_1153015_04062024104124_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Mr. Shriprakash Shukla,Employees/Designated Employees,Equity Shares,96955,0.01,Equity Shares,2000,5292000,Sell,Equity Shares,94955,0.01,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 20:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165015_1152978_04062024083029_WEB.xml
M&M,Mahindra & Mahindra Limited,7(2),Rajesh Jejurikar,Director,Equity Shares,90468,0.01,Equity Shares,1002,2597184,Sell,Equity Shares,89466,0.01,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,BSE,-,04-Jun-2024 20:30,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165015_1152978_04062024083029_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Sandeep Sarkar,-,Equity Shares,Nil,0,Equity Shares,6575,8849950,Buy,Equity Shares,6575,0,30-May-2024,30-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165013_1152970_04062024081803_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),PANKAJ TAGRA,-,Equity Shares,522,0,Equity Shares,29223,39334158,Buy,Equity Shares,29745,0,30-May-2024,30-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165013_1152970_04062024081803_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Ashish Gupta,-,Equity Shares,30532,0,Equity Shares,48705,65556930,Buy,Equity Shares,79237,0,30-May-2024,30-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165013_1152970_04062024081803_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),SANJAY GUPTA,-,Equity Shares,5991,0,Equity Shares,7845,10559370,Buy,Equity Shares,13836,0,30-May-2024,30-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165013_1152970_04062024081803_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Vineet Vedprakash Sood,-,Equity Shares,3212,0,Equity Shares,1300,1749800,Buy,Equity Shares,4512,0,30-May-2024,30-May-2024,03-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:18,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165013_1152970_04062024081803_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Gaurav Khosla,-,Equity Shares,3962,0,Equity Shares,700,934535,Buy,Equity Shares,4662,0,18-May-2024,18-May-2024,04-Jun-2024,ESOP,-,-,-,-,-,-,NA,-,04-Jun-2024 20:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165011_1152963_04062024080058_WEB.xml
HCLTECH,HCL Technologies Limited,7(2),Gaurav Khosla,-,Equity Shares,4662,0,Equity Shares,862,1137638,Sell,Equity Shares,3800,0,03-Jun-2024,03-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NSE,-,04-Jun-2024 20:00,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165011_1152963_04062024080058_WEB.xml
WIPRO,Wipro Limited,7(2),Sonal Ramrakhiani,Employees/Designated Employees,ADR/GDR/FCCB,18889,0,ADR/GDR/FCCB,18889,8280465,Sell,ADR/GDR/FCCB,Nil,0,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Sale,-,-,-,-,-,-,NA,-,04-Jun-2024 19:40,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165009_1152955_04062024074003_WEB.xml
KPIGREEN,KPI Green Energy Limited,7(2),Farukbhai Gulambhai Patel,Promoters,Equity Shares,31968046,53.03,Equity Shares,2850,5003033,Buy,Equity Shares,31970896,53.04,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,-,-,-,-,-,NSE,-,04-Jun-2024 19:27,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165007_1152936_04062024072733_WEB.xml
